GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
17,56.9901,208.3654,984.266,0.0,0.0,0.0,-734.8206,-6426.594,270.6417,3207.7037,-1867.306,43.70578056,-2433.4476999999997,-1823.60021944,-4257.0479194399995
18,57.0356,207.9626,986.8427,0.0,0.0,0.0,-732.415,-6452.0385,269.5967,3207.0099,-1837.6896,43.10268408,-2456.0059999999994,-1794.58691592,-4250.5929159199995
19,57.2461,207.8232,987.3205,0.0,0.0,0.0,-734.5467,-6448.8488,269.6699,3200.2339,-1836.0416,43.04906424,-2461.1018999999997,-1792.99253576,-4254.09443576
20,57.0881,209.1694,985.173,0.0,0.0,0.0,-733.136,-6462.3387,269.7913,3207.3224,-1832.4599,42.902296559999996,-2466.9305000000004,-1789.55760344,-4256.4881034400005
21,57.0349,208.03,988.4441,0.0,0.0,0.0,-737.0264,-6456.3251,269.9595,3205.3278,-1830.6833,42.5252844,-2464.5552,-1788.1580156,-4252.7132156
22,56.6054,207.7983,986.1452,0.0,0.0,0.0,-734.3808,-6454.7335,269.8801,3210.1926,-1837.848,43.09716312,-2458.4927000000002,-1794.75083688,-4253.243536880001
23,57.2923,209.526,983.925,0.0,0.0,0.0,-734.5747,-6420.1981,269.7863,3194.7983,-1857.9168,43.35646824,-2439.4449,-1814.56033176,-4254.005231759999
24,57.2939,208.582,989.1696,0.0,0.0,0.0,-741.3744,-6430.2738,269.5035,3203.7541,-1852.6159,42.65503128,-2443.3451000000005,-1809.96086872,-4253.30596872
25,57.0362,208.3698,986.0601,0.0,0.0,0.0,-733.3983,-6458.8885,270.1306,3206.388,-1837.5974,42.91051032,-2464.3021,-1794.6868896800001,-4258.98898968
26,56.9199,207.4844,987.2821,0.0,0.0,0.0,-733.222,-6433.5165,270.0408,3207.7564,-1854.3079,43.37662536,-2437.2549,-1810.93127464,-4248.18617464
27,56.9664,207.9445,987.9989,0.0,0.0,0.0,-738.4635,-6439.4173,270.5776,3206.7835,-1847.663,43.217154719999996,-2447.6099,-1804.44584528,-4252.05574528
28,57.2883,207.7426,984.9604,0.0,0.0,0.0,-734.0054,-6450.6653,270.2282,3200.4302,-1833.9602,43.009902,-2464.0209999999997,-1790.950298,-4254.971298
29,56.9988,208.819,985.1533,0.0,0.0,0.0,-729.308,-6433.4917,269.5204,3207.2398,-1862.2943,43.81861536,-2435.0683999999997,-1818.47568464,-4253.54408464
30,57.088,209.8885,985.2454,0.0,0.0,0.0,-741.7764,-6424.2654,269.9935,3190.8157,-1845.3531,42.8781996,-2453.0107000000007,-1802.4749004,-4255.485600400001
31,57.023,208.6301,986.6097,0.0,0.0,0.0,-737.8815,-6460.433,270.5278,3206.1237,-1830.9947,42.43128048,-2469.4002,-1788.56341952,-4257.96361952
32,56.8035,207.4611,987.9473,0.0,0.0,0.0,-731.7561,-6439.8216,270.116,3207.4778,-1849.3346,43.5315492,-2441.7720000000004,-1805.8030508,-4247.5750508
33,57.0374,209.2427,982.9673,0.0,0.0,0.0,-734.588,-6447.0512,270.7039,3202.1368,-1840.0287,42.97702968,-2459.5510999999988,-1797.05167032,-4256.602770319999
