GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
22,57.5393,208.3122,981.1098,0.0,0.0,0.0,-723.2529,-6344.9615,270.6022,3182.8341,-1980.5332,44.279979839999996,-2367.8167999999996,-1936.2532201600002,-4304.070020159999
23,57.2535,207.8106,983.8382,0.0,0.0,0.0,-730.9485,-6375.604,271.6273,3182.0946,-1939.8438,43.59165768,-2403.9283,-1896.25214232,-4300.18044232
24,57.4691,208.4079,983.0959,0.0,0.0,0.0,-726.9136,-6340.463,269.8964,3181.1439,-1977.707,44.050065839999995,-2367.3634,-1933.6569341600002,-4301.020334160001
25,57.2569,207.9443,983.3066,0.0,0.0,0.0,-726.7226,-6338.8822,270.052,3181.5516,-1979.3946,44.109792719999994,-2365.4934000000003,-1935.28480728,-4300.778207280001
26,56.5426,208.4332,984.7118,0.0,0.0,0.0,-728.7897,-6329.9712,270.3189,3187.0456,-1988.2747,44.358716879999996,-2351.7088,-1943.91598312,-4295.62478312
27,57.8365,207.7866,984.5223,0.0,0.0,0.0,-721.6651,-6392.1132,270.764,3196.8008,-1957.138,44.17650792,-2396.0680999999995,-1912.96149208,-4309.029592079999
28,57.4508,208.2153,981.6935,0.0,0.0,0.0,-723.4573,-6348.0971,270.5847,3183.0186,-1978.0009,44.28690408,-2370.5915,-1933.71399592,-4304.30549592
29,57.4265,208.1055,988.0974,0.0,0.0,0.0,-724.4745,-6426.1054,271.6719,3198.0737,-1926.8665,43.37704656,-2427.2049000000006,-1883.48945344,-4310.694353440001
30,57.4601,207.9515,981.5258,0.0,0.0,0.0,-719.8754,-6347.2409,269.8974,3183.1917,-1976.6417,44.5662144,-2367.0898,-1932.0754855999999,-4299.1652856
31,57.3127,208.0175,986.227,0.0,0.0,0.0,-727.9609,-6354.4807,270.4069,3180.9572,-1966.0021,43.51202784,-2379.5203,-1922.49007216,-4302.01037216
32,57.4315,208.6388,980.7171,0.0,0.0,0.0,-723.8836,-6397.2806,270.7517,3200.3198,-1948.7477,44.10930096,-2403.3053,-1904.63839904,-4307.94369904
